,type,year,title,trim,price,mileage
8502,new,2018,Ford Fiesta ,SE ,17315,0
8503,new,2018,Ford Mustang ,GT ,36090,0
8504,new,2018,Ford EcoSport ,SE ,23900,0
8505,new,2018,Ford F-150 ,Lariat ,56350,0
8506,new,2018,Ford Fusion ,S ,23890,0
8507,new,2018,Ford Fusion ,S ,22995,0
8508,new,2018,Ford Fiesta ,S ,16385,0
8509,new,2018,Ford Focus ,SE w/EcoBoost ,20120,0
8510,new,2018,Ford Focus ,Titanium ,26840,0
8511,new,2018,Ford Focus ,SEL ,22250,0
8512,new,2018,Ford Focus ,S ,19830,0
8513,new,2018,Ford Fusion Hybrid ,SE ,27120,0
8514,new,2018,Ford Focus ,SE w/EcoBoost ,21215,0
8515,new,2018,Ford EcoSport ,SE ,25195,0
8516,new,2018,Ford F-150 ,Lariat ,54890,0
8517,new,2018,Ford Focus ,S ,18825,0
8518,new,2018,Ford Fiesta ,SE ,17315,0
8519,new,2018,Ford Mustang ,GT ,36385,0
8520,new,2018,Ford F-150 ,Lariat ,61460,0
8521,new,2018,Ford Edge ,Titanium ,38515,0
8522,new,2018,Ford Focus ,SEL ,22345,0
8523,new,2018,Ford F-150 ,Raptor ,70665,0
8524,new,2018,Ford F-150 ,Raptor ,70665,0
8525,new,2018,Ford EcoSport ,SE ,23900,0
8526,new,2018,Ford EcoSport ,SE ,23991,0
8527,new,2018,Ford Focus ,SE w/EcoBoost ,22015,0
8528,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,26190,0
8529,new,2018,Ford Edge ,Titanium ,45745,0
8530,new,2018,Ford Edge ,SEL ,38320,0
8531,new,2018,Ford Edge ,Titanium ,39200,0
8532,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,26865,0
8533,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,25600,0
8534,new,2018,Ford Focus ,SE w/EcoBoost ,21120,0
8535,new,2018,Ford Focus ,Titanium ,27235,0
8536,new,2018,Ford Focus ,SE w/EcoBoost ,20025,0
8537,new,2018,Ford Focus ,S ,18735,0
8538,new,2018,Ford Focus ,S ,18825,0
8539,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,25600,0
8540,new,2018,Ford Focus ,SEL ,22345,0
8541,new,2018,Ford Edge ,SEL ,36725,0
8542,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,25670,0
8543,new,2018,Ford F-150 ,XLT ,46575,0
8544,new,2018,Ford Edge ,Titanium ,45245,0
8545,new,2018,Ford Escape ,S ,24845,0
8546,new,2018,Ford EcoSport ,Titanium ,26875,0
8547,new,2018,Ford Focus ,SEL ,22645,0
8548,new,2018,Ford Transit Wagon ,150 XLT Low Roof w/Sliding Passenger Side Door ,41620,0
8549,new,2018,Ford Fiesta ,SE ,17615,0
8550,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,25670,0
8551,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,25600,0
8552,new,2018,Ford EcoSport ,SE ,23995,0
8553,new,2018,Ford Focus ,SE w/EcoBoost ,22015,0
8554,new,2018,Ford Edge ,SEL ,33045,0
8555,new,2018,Ford Transit Connect ,Cargo Van XL w/Rear 180 Degree Doors LWB ,26190,0
8556,new,2018,Ford F-150 ,XLT ,46160,0
8557,new,2018,Ford Fiesta ,S ,16385,0
8558,new,2018,Ford Focus ,SE w/EcoBoost ,20120,0
8559,new,2018,Ford Focus ,Titanium ,26840,0
8560,new,2018,Ford Focus ,SEL ,22250,0
8561,new,2018,Ford Focus ,S ,19830,0
8562,new,2018,Ford Focus ,SE ,21415,0
8563,new,2018,Ford Focus ,SE ,21320,0
8564,new,2018,Ford Focus ,SE ,21715,0
8565,new,2018,Ford Fusion ,SE ,24665,0
8566,new,2018,Ford Focus ,SE w/EcoBoost ,21120,0
8567,new,2018,Ford Focus ,SE ,21320,0
8568,new,2018,Ford Focus ,SE ,21320,0
8569,new,2018,Ford Focus ,SE w/EcoBoost ,21215,0
8570,new,2018,Ford Flex ,SEL ,36090,0
8571,new,2018,Ford Flex ,SE ,31280,0
8572,used,2014,Ford F-150 ,SVT Raptor ,49998,64298
8573,used,2018,Ford Flex ,Limited ,26788,23963
8574,used,2015,Volkswagen Jetta ,S w/Technology ,11688,21437
8575,used,2007,BMW 5 Series ,550i ,7486,144747
8576,used,2014,INFINITI Q50 ,Premium ,20489,39294
8577,used,2015,BMW 3 Series ,335i ,28995,39875
8578,used,2011,Mercedes-Benz C-Class ,C300 Luxury ,10888,92968
8579,used,2006,Ford F-250 Super Duty ,Lariat ,23998,87393
8580,used,2014,Ford Edge ,Limited ,18588,46651
8581,used,2015,Ford Focus ,Titanium ,12585,37265
8582,used,2014,Volkswagen Passat ,SE PZEV ,11598,59156
8583,used,2017,Mitsubishi Outlander ,ES ,17693,33425
8584,used,2014,Volkswagen Passat ,Wolfsburg Edition PZEV ,11988,19512
8585,used,2016,Ford Mustang ,GT Premium ,31771,25661
8586,used,2015,Ford Explorer ,Base ,17257,63857
8587,used,2017,Dodge Journey ,GT ,20485,22975
8588,used,2015,Subaru Legacy ,2.5i Limited PZEV ,16800,32696
8589,used,2017,Ford Fusion ,SE ,14988,33836
8590,used,2011,Nissan Frontier ,S ,11998,123591
8591,used,2015,Ford Explorer ,XLT ,23222,38677
8592,used,2013,Honda Odyssey ,EX-L w/Rear Entertainment ,16788,96712
8593,used,2015,Ford Fusion Hybrid ,SE ,27615,28999
8594,used,2013,Ford Fiesta ,SE ,7888,33370
8595,used,2016,Ford Explorer ,XLT ,27998,29722
8596,used,2014,Toyota Highlander ,Limited Platinum ,26988,51853
8597,used,2016,Jeep Compass ,Sport ,15285,22925
8598,used,2016,Audi Q5 ,TDI Premium Plus quattro ,36858,37950
8599,used,2014,Toyota Highlander ,XLE ,26989,38181
8600,used,2017,Hyundai Tucson ,SE ,19254,14562
8601,used,2013,Ford Edge ,Limited ,15987,65847
8602,used,2018,Ford EcoSport ,S ,16787,0
8603,used,2015,Volkswagen Passat ,Limited Edition PZEV ,13988,11900
8604,used,2007,Ford Mustang ,GT Deluxe ,26995,52614
8605,used,2014,Toyota Highlander ,Limited Platinum ,26988,51853
8606,used,2016,Jeep Compass ,Sport ,15285,22925
8607,used,2016,Ford Focus ,SE ,10998,42159
8608,used,2010,Ford Mustang ,V6 ,11888,78230
8609,used,2014,FIAT 500L ,Trekking ,9995,63052
8610,used,2009,Jeep Wrangler ,Unlimited Rubicon ,26789,58734
8611,new,2019,BMW 6 Series Gran Coupe ,650i ,103480,8
8612,new,2019,BMW 7 Series ,750i ,107345,10
8613,new,2018,BMW M5 ,Base ,124050,125
8614,new,2018,BMW M4 ,Base ,91590,16
8615,new,2018,BMW ALPINA B6 Gran Coupe ,xDrive ,138395,5
8616,new,2019,BMW 7 Series ,740i ,91805,7
8617,new,2018,BMW M3 ,Base ,72545,10
8618,new,2019,BMW 4 Series Gran Coupe ,440i ,55850,9
8619,new,2019,BMW 4 Series ,440i ,74070,10
8620,new,2018,BMW M3 ,Base ,81045,75
8621,new,2018,BMW M4 ,Base ,75250,10
8622,new,2018,BMW X5 M ,Base ,115695,7
8623,new,2019,BMW 7 Series ,750i ,103745,11
8624,new,2017,BMW 2 Series ,M240i ,55520,1131
8625,new,2019,BMW 4 Series Gran Coupe ,440i ,55565,9
8626,new,2019,BMW 7 Series ,750i ,113025,9
8627,new,2019,BMW 4 Series Gran Coupe ,430i xDrive ,50800,5
8628,new,2019,BMW 4 Series ,430i ,53970,9
8629,new,2017,BMW M6 ,Base ,130095,1067
8630,new,2017,BMW X5 ,xDrive35i ,74895,5
8631,new,2019,BMW 4 Series Gran Coupe ,440i ,53620,10
8632,new,2018,BMW 5 Series ,540d xDrive ,69100,5
8633,new,2018,BMW ALPINA B7 ,xDrive ,139795,43378
8634,new,2019,BMW 7 Series ,750i ,103005,1695
8635,new,2019,BMW 7 Series ,750i ,111475,8
8636,new,2018,BMW M4 ,Base ,81435,20
8637,new,2018,BMW 3 Series ,328d ,45760,12
8638,new,2018,BMW 5 Series ,530e iPerformance ,63735,11
8639,new,2019,BMW 7 Series ,740i ,96780,10
8640,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,87735,10
8641,new,2018,BMW 4 Series ,440i ,60595,10
8642,new,2018,BMW 3 Series ,330e iPerformance ,61505,9
8643,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,78260,5
8644,new,2018,BMW 5 Series ,540i ,70820,10
8645,new,2018,BMW X5 M ,Base ,115695,37
8646,new,2018,BMW X5 M ,Base ,115395,101
8647,new,2018,BMW X6 M ,Base ,118795,8
8648,new,2018,BMW 3 Series ,340i xDrive ,69380,9
8649,new,2018,BMW 5 Series ,M550i xDrive ,88765,9
8650,new,2018,BMW X2 ,sDrive28i ,45295,6
8651,new,2018,BMW 3 Series ,330i ,45615,12
8652,new,2019,BMW 4 Series Gran Coupe ,430i ,51475,7
8653,new,2018,BMW 7 Series ,740i ,88915,5
8654,new,2018,BMW 3 Series ,328d xDrive ,57940,7
8655,new,2018,BMW 7 Series ,740i ,93595,1258
8656,new,2018,BMW M2 ,Base ,67175,57
8657,new,2018,BMW 6 Series ,650i ,106795,10
8658,new,2018,BMW 3 Series ,320i xDrive ,41005,14
8659,new,2019,BMW 7 Series ,750i ,107185,10
8660,new,2018,BMW 5 Series ,530e iPerformance ,56450,8
8661,new,2018,BMW 4 Series Gran Coupe ,440i ,62245,8
8662,new,2018,BMW 3 Series ,328d ,55110,10
8663,new,2018,BMW X2 ,xDrive28i ,45295,8
8664,new,2018,BMW 5 Series ,530i ,59195,51
8665,new,2018,BMW X2 ,sDrive28i ,49820,5
8666,new,2018,BMW 3 Series ,320i xDrive ,43030,12
8667,new,2018,BMW 7 Series ,740e xDrive iPerformance ,131100,35
8668,new,2018,BMW M2 ,Base ,65550,33
8669,new,2018,BMW X2 ,sDrive28i ,38545,9
8670,new,2018,BMW M4 ,Base ,90915,9
8671,new,2018,BMW 3 Series ,330i ,44995,31
8672,new,2018,BMW 7 Series ,750i ,107555,9
8673,new,2018,BMW i3 ,w/Range Extender ,57840,52
8674,new,2018,BMW 5 Series ,530e iPerformance ,57510,5
8675,new,2018,BMW 3 Series ,330i xDrive ,49485,15
8676,new,2018,BMW X1 ,sDrive28i ,39460,9
8677,new,2018,BMW X1 ,sDrive28i ,39700,8
8678,new,2018,BMW X1 ,sDrive28i ,41260,9
8679,new,2018,BMW 3 Series ,330i ,50590,14
8680,new,2018,BMW 5 Series ,530e iPerformance ,63430,7
8681,new,2018,BMW X2 ,sDrive28i ,37945,8
8682,new,2018,BMW i3 ,Base ,51090,14
8683,new,2018,BMW 7 Series ,750i ,128915,4230
8684,new,2018,BMW X1 ,xDrive28i ,38795,8
8685,new,2018,BMW 7 Series ,740i ,102835,8
8686,new,2018,BMW 5 Series ,530e iPerformance ,56850,11
8687,new,2018,BMW 7 Series ,750i ,128065,388
8688,new,2018,BMW 3 Series ,330i ,44765,12
8689,new,2018,BMW M4 ,Base ,90915,9
8690,new,2018,BMW 3 Series ,330i ,44995,31
8691,new,2018,BMW 7 Series ,750i ,107555,9
8692,new,2018,BMW i3 ,w/Range Extender ,57840,52
8693,new,2018,BMW 5 Series ,530e iPerformance ,57510,5
8694,new,2018,BMW 3 Series ,330i xDrive ,49485,15
8695,new,2018,BMW X1 ,sDrive28i ,39460,9
8696,new,2018,BMW X1 ,sDrive28i ,39700,8
8697,new,2018,BMW X1 ,sDrive28i ,41260,9
8698,new,2018,BMW 3 Series ,330i ,50590,14
8699,new,2018,BMW 5 Series ,530e iPerformance ,63430,7
8700,new,2018,BMW X2 ,sDrive28i ,37945,8
8701,new,2018,BMW i3 ,Base ,51090,14
8702,new,2018,BMW 7 Series ,750i ,128915,4230
8703,new,2018,BMW X1 ,xDrive28i ,38795,8
8704,new,2018,BMW 7 Series ,740i ,102835,8
8705,new,2018,BMW 5 Series ,530e iPerformance ,56850,11
8706,new,2018,BMW i3 ,w/Range Extender ,55740,12
8707,new,2018,BMW X1 ,xDrive28i ,43500,7
8708,new,2019,BMW i8 ,Base ,153995,252
8709,new,2018,BMW M2 ,Base ,67860,60
8710,new,2018,BMW X2 ,sDrive28i ,45295,6
8711,new,2018,BMW 3 Series ,320i ,38550,10
8712,new,2018,BMW 3 Series ,330i ,45615,12
8713,new,2018,BMW X1 ,sDrive28i ,40895,7
8714,new,2019,BMW 4 Series Gran Coupe ,430i ,51475,7
8715,new,2018,BMW M4 ,Base ,87515,59
8716,new,2018,BMW X1 ,xDrive28i ,43460,10
8717,new,2018,BMW 7 Series ,M760i xDrive ,178590,857
8718,new,2018,BMW X2 ,sDrive28i ,41300,9
8719,new,2018,BMW 5 Series ,530e iPerformance ,65575,9
8720,new,2019,BMW 4 Series Gran Coupe ,440i ,56400,10
8721,new,2018,BMW X2 ,sDrive28i ,39305,12
8722,new,2018,BMW X2 ,xDrive28i ,53045,9
8723,new,2018,BMW X1 ,sDrive28i ,39700,6
8724,new,2018,BMW 5 Series ,530e iPerformance ,65405,10
8725,new,2018,BMW X1 ,sDrive28i ,39460,10
8726,new,2018,BMW 3 Series ,328d ,49975,9
8727,new,2018,BMW 5 Series ,530e iPerformance ,65445,10
8728,new,2018,BMW 3 Series ,330i xDrive ,46835,13
8729,new,2018,BMW 3 Series ,320i ,41395,8
8730,new,2018,BMW 7 Series ,750i ,125385,149
8731,new,2018,BMW 3 Series ,328d ,54745,12
8732,new,2018,BMW i3 ,w/Range Extender ,55740,12
8733,new,2018,BMW X1 ,xDrive28i ,43500,7
8734,new,2019,BMW i8 ,Base ,153995,252
8735,new,2018,BMW M2 ,Base ,67860,60
8736,new,2018,BMW 3 Series ,320i ,38550,10
8737,new,2018,BMW X1 ,sDrive28i ,40895,7
8738,new,2018,BMW M4 ,Base ,87515,59
8739,new,2018,BMW X1 ,xDrive28i ,43460,10
8740,new,2018,BMW 7 Series ,M760i xDrive ,178590,857
8741,new,2018,BMW X2 ,sDrive28i ,41300,9
8742,new,2018,BMW X1 ,xDrive28i ,38815,10
8743,new,2018,BMW 7 Series ,750i ,118175,7
8744,new,2018,BMW 5 Series ,530e iPerformance ,56670,5
8745,new,2018,BMW i3 ,w/Range Extender ,52290,9
8746,new,2018,BMW M5 ,Base ,121465,11
8747,new,2018,BMW M4 ,Base ,91110,10
8748,new,2018,BMW 4 Series Gran Coupe ,430i ,56595,9
8749,new,2019,BMW 7 Series ,750i ,104745,23
8750,new,2018,BMW 5 Series ,530i ,61355,8
8751,new,2018,BMW 3 Series ,330i xDrive ,49485,12
8752,new,2018,BMW X1 ,xDrive28i ,42205,10
8753,new,2018,BMW 7 Series ,740i ,90305,8
8754,new,2018,BMW X1 ,xDrive28i ,43510,11
8755,new,2018,BMW X2 ,sDrive28i ,40455,9
8756,new,2018,BMW 4 Series Gran Coupe ,440i ,61435,10
8757,new,2018,BMW X2 ,sDrive28i ,40805,12
8758,new,2018,BMW i3 ,Base ,48940,12
8759,new,2018,BMW 5 Series ,530e iPerformance ,56570,9
8760,new,2018,BMW 5 Series ,530e iPerformance ,56670,5
8761,new,2018,BMW i3 ,w/Range Extender ,52290,9
8762,new,2018,BMW M5 ,Base ,121465,11
8763,new,2018,BMW M4 ,Base ,91110,10
8764,new,2018,BMW 4 Series Gran Coupe ,430i ,56595,9
8765,new,2019,BMW 7 Series ,750i ,104745,23
8766,new,2018,BMW 5 Series ,530i ,61355,8
8767,new,2018,BMW 3 Series ,330i xDrive ,49485,12
8768,new,2018,BMW X1 ,xDrive28i ,42205,10
8769,new,2018,BMW 7 Series ,740i ,90305,8
8770,new,2018,BMW X1 ,xDrive28i ,43510,11
8771,new,2018,BMW X2 ,sDrive28i ,40455,9
8772,new,2018,BMW 4 Series Gran Coupe ,440i ,61435,10
8773,new,2018,BMW X2 ,sDrive28i ,40805,12
8774,new,2018,BMW i3 ,Base ,48940,12
8775,new,2018,BMW 5 Series ,530e iPerformance ,56570,9
8776,new,2018,BMW X1 ,sDrive28i ,39700,8
8777,new,2019,BMW 4 Series Gran Coupe ,440i ,55565,5
8778,new,2018,BMW 3 Series ,320i xDrive ,42910,11
8779,new,2018,BMW 5 Series ,530e iPerformance ,55325,9
8780,new,2018,BMW X2 ,xDrive28i ,48795,7
8781,new,2018,BMW 3 Series ,320i xDrive ,39065,7
8782,new,2018,BMW 5 Series ,530e iPerformance ,64175,10
8783,new,2018,BMW 4 Series Gran Coupe ,430i ,49940,951
8784,new,2018,BMW X2 ,sDrive28i ,40695,9
8785,new,2018,BMW 3 Series ,320i xDrive ,38565,7
8786,new,2018,BMW X2 ,sDrive28i ,40510,10
8787,new,2018,BMW M4 ,Base ,78920,25
8788,new,2018,BMW 3 Series ,320i xDrive ,42555,9
8789,new,2019,BMW 4 Series Gran Coupe ,430i ,51395,7
8790,new,2018,BMW M4 ,Base ,86435,16
8791,new,2018,BMW 3 Series ,330i xDrive ,50860,40
8792,new,2018,BMW i3 ,w/Range Extender ,50640,16
8793,new,2018,BMW X1 ,sDrive28i ,39460,366
8794,new,2018,BMW 7 Series ,M760i xDrive ,173510,865
8795,new,2018,BMW X1 ,sDrive28i ,39490,9
8796,new,2019,BMW 4 Series Gran Coupe ,430i ,51395,7
8797,new,2018,BMW M4 ,Base ,86435,16
8798,new,2018,BMW 3 Series ,330i xDrive ,50860,40
8799,new,2018,BMW i3 ,w/Range Extender ,50640,16
8800,new,2018,BMW X1 ,sDrive28i ,39460,366
8801,new,2018,BMW 7 Series ,M760i xDrive ,173510,865
8802,new,2018,BMW X1 ,sDrive28i ,39490,9
8803,new,2018,BMW 3 Series ,330i ,51140,8
8804,new,2018,BMW X1 ,xDrive28i ,43205,9
8805,new,2018,BMW X2 ,sDrive28i ,45295,10
8806,new,2018,BMW 3 Series ,328d ,47160,10
8807,new,2018,BMW 5 Series ,540d xDrive ,69100,5
8808,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,74605,6
8809,new,2018,BMW 5 Series ,540i ,70820,10
8810,new,2018,BMW X5 M ,Base ,115695,37
8811,new,2018,BMW X5 M ,Base ,115395,101
8812,new,2018,BMW X6 M ,Base ,118795,8
8813,new,2018,BMW 5 Series ,530e iPerformance ,63735,11
8814,new,2018,BMW 3 Series ,330i xDrive ,50860,40
8815,new,2018,BMW i3 ,w/Range Extender ,50640,16
8816,new,2018,BMW X1 ,sDrive28i ,39460,366
8817,new,2018,BMW 7 Series ,M760i xDrive ,173510,865
8818,new,2018,BMW X1 ,sDrive28i ,39490,9
8819,new,2018,BMW 3 Series ,330i ,51140,8
8820,new,2018,BMW X1 ,xDrive28i ,43205,9
8821,new,2018,BMW X2 ,sDrive28i ,45295,10
8822,new,2018,BMW 3 Series ,328d ,47160,10
8823,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,74605,6
8824,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,74760,11
8825,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,81860,10
8826,new,2018,BMW X5 ,sDrive35i ,61345,21
8827,new,2018,BMW X5 ,sDrive35i ,75210,6
8828,new,2018,BMW X5 ,sDrive35i ,60545,54
8829,new,2018,BMW X5 ,sDrive35i ,59795,6
8830,new,2018,BMW X5 ,sDrive35i ,63485,3
8831,new,2018,BMW X5 ,sDrive35i ,60545,10
8832,new,2018,BMW X5 ,sDrive35i ,59345,10
8833,new,2018,BMW X5 ,sDrive35i ,61345,6
8834,new,2018,BMW X5 ,sDrive35i ,62445,10
8835,new,2018,BMW X5 ,sDrive35i ,59895,6
8836,new,2018,BMW X5 ,sDrive35i ,63485,5
8837,new,2018,BMW X5 ,sDrive35i ,63235,8
8838,new,2018,BMW X5 ,sDrive35i ,59795,9
8839,new,2018,BMW X5 ,sDrive35i ,59795,5
8840,new,2018,BMW X5 ,sDrive35i ,59895,42
8841,new,2018,BMW X5 ,sDrive35i ,73370,5
8842,new,2018,BMW X5 ,sDrive35i ,60545,6
8843,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,74760,11
8844,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,81860,10
8845,new,2018,BMW 4 Series ,440i ,60595,10
8846,new,2018,BMW 3 Series ,340i xDrive ,69380,9
8847,new,2018,BMW 6 Series Gran Turismo ,640i xDrive ,87735,10
8848,new,2018,BMW X5 ,xDrive40e iPerformance ,78410,8
8849,new,2018,BMW X5 ,xDrive40e iPerformance ,68745,7
8850,new,2018,BMW X5 ,sDrive35i ,59795,5
8851,new,2018,BMW X5 ,sDrive35i ,59895,42
8852,new,2018,BMW X5 ,sDrive35i ,73370,5
8853,new,2018,BMW 5 Series ,540i ,71780,8
8854,new,2018,BMW X3 ,xDrive30i ,57870,74
8855,new,2018,BMW X3 ,M40i ,66680,41
8856,new,2018,BMW X3 ,xDrive30i ,58820,50
8857,new,2018,BMW X5 ,xDrive40e iPerformance ,71285,8
8858,new,2018,BMW X5 ,xDrive35i ,65285,7
8859,new,2018,BMW 5 Series ,540i ,65645,8
8860,new,2018,BMW 5 Series ,540i ,62955,8
8861,new,2018,BMW 2 Series ,230i ,47160,7
8862,new,2018,BMW X6 ,sDrive35i ,70720,7
8863,new,2018,BMW X3 ,xDrive30i ,54895,10
8864,new,2018,BMW X5 ,xDrive40e iPerformance ,78410,8
8865,new,2018,BMW X5 ,xDrive35i ,61585,10
8866,new,2018,BMW 5 Series ,540i ,65240,8
8867,new,2018,BMW X6 ,xDrive35i ,70760,7
8868,new,2018,BMW 5 Series ,540i ,67370,12
8869,new,2018,BMW X6 ,xDrive35i ,70760,7
8870,new,2018,BMW 5 Series ,540i ,72890,17
8871,new,2018,BMW X3 ,xDrive30i ,47385,9
8872,new,2018,BMW X5 ,xDrive35i ,62135,10
8873,new,2018,BMW X5 ,xDrive35d ,64785,10
8874,new,2018,BMW X3 ,xDrive30i ,55045,99
8875,new,2018,BMW 2 Series ,230i ,48810,8
8876,new,2018,BMW X5 ,xDrive35d ,68235,5
8877,new,2018,BMW 5 Series ,540i ,65805,9
8878,new,2018,BMW X5 ,xDrive40e iPerformance ,77760,5
8879,new,2018,BMW X3 ,xDrive30i ,55745,7
8880,new,2018,BMW X3 ,xDrive30i ,51345,9
8881,new,2018,BMW X5 ,xDrive35i ,61585,5
8882,new,2018,BMW X3 ,xDrive30i ,57870,74
8883,new,2018,BMW X3 ,M40i ,66680,41
8884,new,2018,BMW X5 ,xDrive40e iPerformance ,73545,10
8885,new,2018,BMW 5 Series ,540i ,65805,13
8886,new,2018,BMW X5 ,xDrive35i ,60795,6
8887,new,2018,BMW 5 Series ,540i ,72190,10
8888,new,2018,BMW X3 ,xDrive30i ,54495,86
8889,new,2018,BMW X3 ,xDrive30i ,51135,59
8890,new,2018,BMW X3 ,M40i ,58545,11
8891,new,2018,BMW X5 ,xDrive40e iPerformance ,68745,7
8892,new,2018,BMW X5 ,xDrive35d ,64885,5
8893,new,2018,BMW X6 ,sDrive35i ,71460,6
8894,new,2018,BMW X5 ,sDrive35i ,61345,21
8895,new,2018,BMW X5 ,sDrive35i ,75210,6
8896,new,2018,BMW X5 ,sDrive35i ,60545,54
8897,new,2018,BMW X5 ,sDrive35i ,59795,6
8898,new,2018,BMW X5 ,sDrive35i ,63485,3
8899,new,2018,BMW X5 ,sDrive35i ,60545,10
8900,new,2018,BMW X5 ,sDrive35i ,59795,8
8901,new,2018,BMW X5 ,sDrive35i ,60795,5
8902,new,2018,BMW X5 ,sDrive35i ,62110,7
8903,new,2018,BMW X5 ,sDrive35i ,59795,9
8904,new,2018,BMW X5 ,xDrive35d ,67535,5
8905,new,2018,BMW 5 Series ,540i ,70060,181
8906,new,2018,BMW X5 ,xDrive35d ,67535,12
8907,new,2018,BMW X6 ,xDrive35i ,75695,5
8908,new,2018,BMW 5 Series ,540i ,68420,9
8909,new,2018,BMW X5 ,xDrive40e iPerformance ,71510,5
8910,new,2018,BMW X3 ,xDrive30i ,49035,8
8911,new,2018,BMW X3 ,xDrive30i ,51985,6
8912,new,2018,BMW 5 Series ,540i ,67790,5
8913,new,2018,BMW 5 Series ,540i ,74890,5
8914,new,2018,BMW X5 ,xDrive40e iPerformance ,90865,172
8915,new,2018,BMW X3 ,xDrive30i ,54495,86
8916,new,2018,BMW X3 ,xDrive30i ,51135,59
8917,new,2018,BMW X3 ,M40i ,58545,11
8918,new,2018,BMW X5 ,xDrive40e iPerformance ,68745,7
8919,new,2018,BMW X5 ,xDrive35d ,64885,5
8920,new,2018,BMW X6 ,sDrive35i ,71460,6
8921,used,2015,Jeep Wrangler ,Unlimited Sahara ,29600,42153
8922,used,2006,Chevrolet Corvette ,Base ,15405,137414
8923,used,2011,Nissan Altima ,3.5 SR ,10598,79904
8924,used,2014,Honda Civic ,EX ,12400,54000
8925,used,2009,Toyota Camry Hybrid ,Base ,8590,122889
8926,used,2016,BMW X5 ,sDrive35i ,39000,19699
8927,used,2015,BMW X5 ,xDrive50i ,38500,54785
8928,used,2018,BMW X4 ,xDrive28i ,39000,9426
8929,used,2013,Kia Sorento ,EX ,13400,80498
8930,used,2013,Tesla Model S ,Base ,52000,16482
8931,used,2015,BMW X5 M ,Base ,63300,42865
8932,used,2007,Lexus GX 470 ,Base ,12514,153022
8933,used,2013,BMW 3 Series ,328i ,14747,83308
8934,used,2015,BMW 3 Series ,320i ,18000,40887
8935,used,2013,BMW 3 Series ,328i xDrive ,15800,54364
8936,used,2015,BMW 3 Series ,328i SULEV ,22000,34120
8937,used,2013,BMW 3 Series ,328i ,14741,77544
8938,used,2015,BMW 3 Series ,328d xDrive ,32000,30537
8939,used,2015,BMW 4 Series ,428i SULEV ,26000,31733
8940,used,2015,BMW 4 Series ,428i SULEV ,24500,29945
8941,used,2014,BMW 4 Series ,428i SULEV ,27000,43463
8942,used,2015,BMW 5 Series ,528i ,26753,23751
8943,used,2015,BMW 5 Series ,528i ,26500,28252
8944,used,2015,BMW 5 Series ,528i ,27000,30150
8945,used,2016,BMW 5 Series ,528i xDrive ,29400,37256
8946,used,2017,BMW 7 Series ,M760i xDrive ,116000,8531
8947,used,2017,BMW 5 Series ,530i ,42777,14270
8948,used,2015,BMW X1 ,xDrive28i ,20985,19659
8949,used,2015,BMW M3 ,Base ,53500,31219
8950,used,2015,BMW M5 ,Base ,60000,29335
8951,used,2015,BMW M5 ,Base ,59000,37438
8952,used,2015,BMW M5 ,Base ,58000,38381
8953,used,2015,BMW M6 ,Base ,58888,20347
8954,used,2017,BMW X1 ,xDrive28i ,28000,16886
8955,used,2017,BMW X1 ,sDrive28i ,30777,8733
8956,used,2017,BMW X1 ,sDrive28i ,27000,19021
8957,used,2017,BMW X1 ,sDrive28i ,27500,19290
8958,used,2018,BMW X2 ,xDrive28i ,41000,7206
8959,used,2015,BMW i3 ,w/Range Extender ,21000,22087
8960,used,2015,BMW i3 ,w/Range Extender ,20400,24906
8961,used,2016,BMW i3 ,w/Range Extender ,25000,9772
8962,used,2013,Mercedes-Benz E-Class ,E350 ,24997,19508
8963,used,2016,BMW X3 ,xDrive28i ,27897,47947
8964,used,2015,BMW 6 Series Gran Coupe ,650i ,48888,20238
8965,used,2017,BMW X1 ,sDrive28i ,27600,18748
8966,used,2017,BMW 3 Series ,330i SULEV ,26000,18212
8967,used,2015,BMW 7 Series ,750Li ,42000,49295
8968,used,2013,BMW X3 ,xDrive35i ,18958,76308
8969,used,2015,BMW i3 ,w/Range Extender ,19880,19734
8970,used,2011,Audi A4 ,2.0T Premium ,9000,112698
8971,used,2016,Honda Accord ,Sport ,18000,46248
8972,used,2017,BMW M3 ,Base ,63000,14706
8973,used,2017,BMW M3 ,Base ,63400,4827
