,type,year,title,trim,price,mileage
108,new,2017,Volvo S60 ,T5 Inscription Platinum ,44750,0
109,new,2018,Mazda 3 ,Sport ,21290,0
110,used,2008,Chevrolet Cobalt ,LT ,4995,92905
111,used,2010,Honda Civic ,LX ,7995,100661
112,new,2018,Volkswagen Tiguan ,SEL Premium 4Motion ,41790,0
113,certified,2015,Volkswagen Jetta ,S ,10921,27802
114,used,2004,Ford Expedition ,XLT Sport ,3995,167573
115,used,2001,Ford Expedition ,XLT ,2999,188688
116,new,2018,Lexus LX 570 ,Two-Row ,86375,8
117,used,2012,Kia Optima ,LX ,8700,91853
118,used,2003,BMW 3 Series ,325i ,5995,103981
119,new,2018,Mercedes-Benz CLA-Class ,CLA 250 ,35465,38
120,used,2015,Volkswagen Jetta ,SE PZEV ,12788,34448
121,used,2011,Chevrolet HHR ,LT ,7500,83428
122,used,2016,Chevrolet Trax ,LS ,12950,40740
123,new,2017,Mitsubishi Outlander Sport ,2.4 SE ,24255,11
124,used,2015,Volkswagen Jetta ,S ,11555,39013
125,new,2018,Volkswagen Tiguan ,SEL Premium ,38715,7
126,used,2008,Scion xB ,Base ,6998,112189
127,new,2018,Hyundai Sonata ,Limited SULEV w/Prod. End 5/18 ,29605,6
128,certified,2015,Hyundai Elantra ,SE ,12677,37032
129,used,2007,Toyota Corolla ,CE ,5998,123132
130,new,2017,Volvo XC60 ,T6 R-Design ,55650,0
131,new,2018,Chevrolet Silverado 1500 ,LT ,50655,7
132,used,2010,Chevrolet Traverse ,LT1 ,10999,95320
133,used,2012,BMW 3 Series ,328i ,13988,66326
134,new,2018,Chrysler Pacifica ,Touring L ,36590,65
135,new,2017,Jeep Wrangler ,Unlimited Rubicon ,77256,1
136,new,2018,Ram 3500 ,Laramie Longhorn ,76030,154
137,used,2013,Ram 1500 ,SLT ,14489,58949
138,new,2018,Dodge Charger ,SRT Hellcat ,69090,41
139,new,2017,FIAT 500X ,Pop ,25825,35
140,new,2018,Alfa Romeo Stelvio ,Base ,43590,60
141,new,2016,Cadillac CT6 ,Platinum ,88460,1100
142,used,2015,Honda CR-V ,Touring ,24600,33784
143,used,2013,Hyundai Sonata ,Limited ,12900,81829
144,new,2018,Acura RLX ,Sport Hybrid SH-AWD ,62865,12
145,new,2019,Volkswagen Jetta ,1.4T S ,19189,20
146,used,2013,Kia Rio ,SX ,10999,39329
147,new,2018,Subaru Outback ,3.6R Touring ,40471,4
148,used,2015,Ford Focus ,SE ,10990,42578
149,used,2015,Nissan Altima ,2.5 S ,12850,47709
150,new,2018,Lexus LX 570 ,Two-Row ,86239,8
151,used,2011,Nissan Versa ,1.8 S ,6991,49185
152,new,2018,Toyota Highlander ,LE Plus ,38978,0
153,new,2018,Hyundai Santa Fe ,Limited Ultimate ,42850,5
154,used,2016,Hyundai Sonata ,SE ,13999,32096
155,used,2014,Chevrolet Spark ,LS ,6990,50991
156,used,2015,Hyundai Sonata ,Sport ,15800,26625
157,new,2018,Audi A6 ,3.0 TFSI Prestige quattro ,67000,4
158,new,2018,Buick Encore ,Preferred ,25395,5
159,new,2018,GMC Terrain ,SLE ,34050,5
160,used,2007,Mercedes-Benz CLS-Class ,CLS550 ,12995,100133
161,used,2017,Hyundai Elantra ,SE ,12500,0
162,used,2005,Chrysler PT Cruiser ,Touring ,4299,84814
163,used,2009,smart fortwo ,pure ,5998,69640
164,used,1995,Ford Explorer ,XLT ,1995,235617
165,used,2011,Mazda 2 ,Sport ,6250,101734
166,used,2002,Honda Civic ,LX ,3495,0
167,used,2006,INFINITI M35 ,Sport ,7797,122689
168,new,2018,BMW 7 Series ,750i ,110765,3478
169,used,2017,Hyundai Accent ,SE ,10999,42267
170,used,2012,Volkswagen Jetta ,TDI ,11100,79539
171,used,2004,Saturn ION ,1 ,2977,129882
172,new,2018,Kia Sedona ,SX ,38490,5
173,used,2014,Kia Rio ,LX ,8934,47027
174,new,2018,Ford Focus ,SEL ,22450,5
175,used,2016,Ford Focus ,SE ,11900,49668
176,used,2008,Honda Fit ,Sport ,8490,61060
177,new,2017,Honda Pilot ,Elite w/Navigation and Rear Entertainment System ,48160,5
178,used,2011,Ford Focus ,SES ,6990,116210
179,used,2016,Hyundai Accent ,SE ,11099,34105
180,used,2010,BMW 5 Series ,535i ,12919,79663
181,used,2017,Mitsubishi Mirage ,ES ,8997,42899
182,new,2018,Mazda CX-9 ,Sport ,34560,33
183,used,2014,Ford Focus ,Titanium ,12495,51255
184,used,2016,Jeep Wrangler ,Unlimited Sport ,27350,50081
185,new,2018,Hyundai Santa Fe Sport ,2.0T ,32505,6
186,new,2018,Subaru Impreza ,2.0i ,19958,5
187,used,2006,Saturn VUE ,Base ,5991,76589
188,used,2014,Cadillac ATS ,Luxury ,18991,71008
189,new,2018,Jeep Grand Cherokee ,Overland ,58320,5
190,new,2018,Ram 1500 ,Big Horn ,50595,5
191,used,2012,Chrysler 200 ,S ,10990,52000
192,new,2018,Dodge Challenger ,SRT Hellcat Widebody ,96830,5
193,new,2018,Chrysler 300 ,S ,41685,5
194,new,2018,FIAT 500X ,Pop ,23780,8
195,used,2013,Kia Sportage ,LX ,10991,132705
196,new,2018,Honda Pilot ,Elite w/Navigation and Rear Entertainment System ,48465,5
197,used,2016,Nissan Versa ,1.6 SV ,10999,27150
198,used,2001,Toyota Corolla ,CE ,2997,170902
199,used,2012,Honda CR-V ,EX ,11900,120377
200,new,2018,Acura MDX ,Advance Package ,55645,5
201,new,2018,Toyota Tundra ,Limited ,50118,6837
202,certified,2015,Nissan Leaf ,S ,10985,42512
203,used,2011,Toyota Prius ,Three ,6997,125662
204,used,2016,Nissan Versa ,1.6 S ,6999,32476
205,used,2002,Lexus ES 300 ,Base ,5990,105176
206,new,2018,Volkswagen Passat ,R-Line ,27395,15
207,used,2016,Ford Mustang ,GT ,30982,0
208,used,2012,Mercedes-Benz SLK-Class ,SLK250 ,19888,77135
209,new,2018,Mercedes-Benz Metris ,Worker Cargo ,26990,10
210,used,2015,smart fortwo ,pure coupe ,7998,25192
211,used,2009,Toyota RAV4 ,Base ,8991,120569
212,new,2018,Nissan Armada ,Platinum ,64020,90
213,used,2009,Honda Fit ,Base ,9595,24733
214,used,2015,Volkswagen Jetta ,SE PZEV w/Connectivity ,11988,29336
215,new,2018,Ford Focus ,SE w/EcoBoost ,21215,2
216,used,2015,FIAT 500 ,Pop ,8712,47436
217,used,2012,Nissan Altima ,3.5 SR ,9500,91079
218,new,2018,Ford Fiesta ,S ,14990,10
219,used,2014,Ford Explorer ,XLT ,12495,164625
220,new,2018,Ford Fiesta ,SE ,16310,7
